time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
4.93333333,1.70975901,0.00000000,1.70975901,21,0.07076741
4.95000000,1.87261620,0.00000000,1.87261620,21,0.07076742
4.96666667,1.63050006,0.00000000,1.63050006,21,0.07076742
4.98333333,1.38607754,0.00000000,1.38607754,21,0.07076742
5.00000000,1.53235844,0.00000000,1.53235844,21,0.07076742
5.01666667,1.44987097,0.00000000,1.44987097,21,0.07076742
5.03333333,1.42701869,0.00000000,1.42701869,21,0.07076742
5.05000000,1.55012354,0.00000000,1.55012354,21,0.07076742
5.06666667,1.70303243,0.00000000,1.70303243,21,0.07076742
5.08333333,1.71805469,0.00000000,1.71805469,21,0.07076742
5.10000000,1.81758034,0.00000000,1.81758034,21,0.07076742
5.11666667,1.89932391,0.00000000,1.89932391,21,0.07076742
5.13333333,1.77396587,0.00000000,1.77396587,21,0.07076742
5.15000000,1.72331618,0.00000000,1.72331618,21,0.07076742
5.16666667,1.64167446,0.00000000,1.64167446,22,0.07076742
5.18333333,1.56960747,0.00000000,1.56960747,22,0.07076742
5.20000000,1.75221448,0.00000000,1.75221448,22,0.07076742
5.21666667,1.63491307,0.00000000,1.63491307,22,0.07076742
5.23333333,1.60963896,0.00000000,1.60963896,22,0.07076741
5.25000000,1.66366658,0.00000000,1.66366658,22,0.07076742
5.26666667,1.95463522,0.00000000,1.95463522,22,0.07076742
5.28333333,1.93177189,0.00000000,1.93177189,22,0.07076742
5.30000000,2.06445891,0.00000000,2.06445891,22,0.07076742
5.31666667,2.11225728,0.00000000,2.11225728,22,0.07076742
5.33333333,1.97572245,0.00000000,1.97572245,22,0.07076741
5.35000000,1.74153057,0.00000000,1.74153057,22,0.07076742
5.36666667,1.71574673,0.00000000,1.71574673,22,0.07076743
5.38333333,1.66979703,0.00000000,1.66979703,22,0.07076742
5.40000000,1.83405160,0.00000000,1.83405160,22,0.07076743
5.41666667,1.65663721,0.00000000,1.65663721,21,0.07076742
5.43333333,1.60496056,0.00000000,1.60496056,21,0.07076741
5.45000000,1.57697061,0.00000000,1.57697061,22,0.07076742
5.46666667,1.69690338,0.00000000,1.69690338,21,0.07076742
5.48333333,1.79112503,0.00000000,1.79112503,22,0.07076742
5.50000000,2.01349434,0.00000000,2.01349434,21,0.07076742
5.51666667,1.76007310,0.00000000,1.76007310,21,0.07076742
5.53333333,1.55266520,0.00000000,1.55266520,21,0.07076742
5.55000000,1.83214942,0.00000000,1.83214942,21,0.07076742
5.56666667,1.85189449,0.00000000,1.85189449,21,0.07076742
5.58333333,1.75550187,0.00000000,1.75550187,21,0.07076742
5.60000000,2.05945251,0.00000000,2.05945251,21,0.07076743
5.61666667,1.85419440,0.00000000,1.85419440,21,0.07076743
5.63333333,1.86338818,0.00000000,1.86338818,21,0.07076741
5.65000000,2.18224934,0.00000000,2.18224934,21,0.07076743
5.66666667,2.30592415,0.00000000,2.30592415,21,0.07076742
5.68333333,2.09430237,0.00000000,2.09430237,21,0.07076742
5.70000000,2.06418269,0.00000000,2.06418269,21,0.07076742
5.71666667,1.84297868,0.00000000,1.84297868,21,0.07076742
5.73333333,1.78972014,0.00000000,1.78972014,21,0.07076742
5.75000000,1.78533714,0.00000000,1.78533714,21,0.07076742
5.76666667,1.61033376,0.00000000,1.61033376,21,0.07076743
5.78333333,1.54056879,0.00000000,1.54056879,21,0.07076743
5.80000000,1.53627248,0.00000000,1.53627248,21,0.07076743
5.81666667,1.45705982,0.00000000,1.45705982,21,0.07076743
5.83333333,1.39217041,0.00000000,1.39217041,21,0.07076743
5.85000000,1.62652691,0.00000000,1.62652691,21,0.07076742
5.86666667,1.52981042,0.00000000,1.52981042,21,0.07076742
5.88333333,1.77060904,0.00000000,1.77060904,21,0.07076742
5.90000000,1.71795382,0.00000000,1.71795382,21,0.07076742
5.91666667,1.62071648,0.00000000,1.62071648,21,0.07076742
5.93333333,1.40358899,0.00000000,1.40358899,21,0.07076742
5.95000000,1.49288576,0.00000000,1.49288576,21,0.07076742
5.96666667,1.47948295,0.00000000,1.47948295,21,0.07076743
5.98333333,1.99385621,0.00000000,1.99385621,21,0.07076742
