time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
5.58333333,991.82704926,0.00000000,991.82712173,641,0.60372111
5.60000000,1095.25958252,0.00000000,1095.25977325,641,0.60372120
5.61666667,1134.72764587,0.00000000,1134.72755432,641,0.60372129
5.63333333,1112.61637115,0.00000000,1112.61627197,640,0.60372078
5.65000000,1019.77731705,0.00000000,1019.77742767,641,0.60372129
5.66666667,877.19354248,0.00000000,877.19361115,641,0.60372166
5.68333333,696.32226944,0.00000000,696.32225037,641,0.60372134
5.70000000,486.73614120,0.00000000,486.73616028,640,0.60372101
5.71666667,277.82313728,0.00000000,277.82312870,640,0.60372124
5.73333333,321.25428581,0.00000000,321.25428677,640,0.60372134
5.75000000,533.22974586,0.00000000,533.22968483,640,0.60372138
5.76666667,740.64078903,0.00000000,740.64080811,640,0.60372111
5.78333333,916.31652832,0.00000000,916.31652069,640,0.60372115
5.80000000,1043.68427658,0.00000000,1043.68422699,640,0.60372129
5.81666667,1111.84056091,0.00000000,1111.84053802,640,0.60372106
5.83333333,1120.02332306,0.00000000,1120.02342224,640,0.60372143
5.85000000,1068.64029694,0.00000000,1068.64023590,640,0.60372106
5.86666667,955.85800934,0.00000000,955.85803604,640,0.60372134
5.88333333,794.63098526,0.00000000,794.63095474,640,0.60372111
5.90000000,595.61525345,0.00000000,595.61529541,640,0.60372115
5.91666667,376.53469849,0.00000000,376.53472710,640,0.60372161
5.93333333,250.48335266,0.00000000,250.48338223,640,0.60372143
5.95000000,427.50808334,0.00000000,427.50807190,640,0.60372157
5.96666667,643.02241516,0.00000000,643.02239990,640,0.60372134
5.98333333,836.01882935,0.00000000,836.01886368,640,0.60372120
6.00000000,990.08726120,0.00000000,990.08729172,640,0.60372147
6.01666667,1097.38206482,0.00000000,1097.38219452,640,0.60372115
6.03333333,1136.13305664,0.00000000,1136.13306427,641,0.60372124
6.05000000,1111.36744690,0.00000000,1111.36746216,641,0.60372157
6.06666667,1021.24233627,0.00000000,1021.24225616,640,0.60372124
6.08333333,878.46451569,0.00000000,878.46454620,641,0.60372106
6.10000000,695.86780548,0.00000000,695.86776733,640,0.60372129
6.11666667,485.43465233,0.00000000,485.43463516,641,0.60372134
6.13333333,274.46499443,0.00000000,274.46502018,640,0.60372120
6.15000000,317.43593311,0.00000000,317.43593502,640,0.60372129
6.16666667,533.59040070,0.00000000,533.59037399,640,0.60372143
6.18333333,742.88963699,0.00000000,742.88962555,640,0.60372134
6.20000000,914.95240784,0.00000000,914.95242691,640,0.60372115
6.21666667,1043.29584122,0.00000000,1043.29586411,640,0.60372097
6.23333333,1110.64830017,0.00000000,1110.64831543,640,0.60372134
